Time_(hours),Parent_Population,Daughter_Population,Granddaughter_Population
328.,150378.1250,378039.5938,471582.0625
329.,149512.0156,377347.3438,473140.9375
330.,148650.8906,376653.0625,474696.0938
331.,147794.7344,375956.5625,476248.7812
332.,146943.5000,375258.2188,477798.2188
333.,146097.1719,374557.5938,479345.1875
334.,145255.7031,373855.1562,480888.9375
335.,144419.0938,373150.7812,482429.9375
336.,143587.2969,372444.4688,483968.2500
337.,142760.3125,371736.2500,485503.3125
338.,141938.0469,371026.2188,487035.6562
339.,141120.5469,370314.3750,488565.2500
340.,140307.7500,369600.8125,490091.4062
341.,139499.6562,368885.3438,491615.0625
342.,138696.1719,368168.4375,493135.5000
343.,137897.3594,367449.7188,494653.1875
344.,137103.1250,366729.3125,496167.6875
345.,136313.4688,366007.4375,497678.9375
346.,135528.3594,365283.9688,499187.7188
347.,134747.7656,364558.9062,500693.2812
348.,133971.6719,363832.4062,502195.8438
349.,133200.0625,363104.4062,503695.4688
350.,132432.9062,362374.8125,505192.3438
351.,131670.1250,361644.1250,506685.7500
352.,130911.7656,360911.8750,508176.1562
353.,130157.7656,360178.2500,509663.8750
354.,129408.1328,359443.3438,511148.5938
355.,128662.7656,358707.2188,512630.0938
356.,127921.7266,357969.8125,514108.1250
357.,127184.9688,357231.1562,515583.6562
358.,126452.4453,356491.2500,517056.2500
359.,125724.1094,355750.3438,518525.5938
360.,125000.0000,355008.2500,519991.7188
361.,124280.0547,354264.9375,521455.0938
362.,123564.2656,353520.5938,522915.0312
363.,122852.5625,352775.3438,524372.0000
364.,122145.0000,352028.8438,525825.9375
365.,121441.5000,351281.4688,527276.9375
366.,120742.0547,350533.1875,528725.0000
367.,120046.6094,349783.9062,530169.5000
368.,119355.2031,349033.6875,531610.8750
369.,118667.7734,348282.5000,533049.6875
370.,117984.3047,347530.5938,534485.0625
371.,117304.7422,346777.9375,535917.1875
372.,116629.1250,346024.2500,537346.6250
373.,115957.3906,345269.9062,538772.8125
374.,115289.5391,344514.7500,540195.8125
375.,114625.5000,343758.9375,541615.5625
376.,113965.3125,343002.4062,543032.0625
377.,113308.9297,342245.1875,544445.8750
378.,112656.3203,341487.2500,545856.4375
379.,112007.4453,340728.8125,547263.8125
380.,111362.3359,339969.6875,548667.6875
381.,110720.9453,339209.9062,550068.8125
382.,110083.2422,338449.6250,551467.0000
383.,109449.1953,337688.8750,552862.0000
384.,108818.8203,336927.5625,554253.4375
385.,108192.0781,336165.7500,555642.1875
386.,107568.9453,335403.4062,557027.7500
387.,106949.3750,334640.7812,558409.8125
388.,106333.3984,333877.6875,559788.8750
389.,105720.9688,333114.0938,561164.9375
390.,105112.0625,332350.1875,562537.8750
391.,104506.6406,331586.0312,563907.2500
392.,103904.7422,330821.3438,565273.9375
393.,103306.2969,330056.4375,566637.1250
394.,102711.2969,329291.2812,567997.6250
395.,102119.7031,328525.8438,569354.3750
396.,101531.5469,327760.0938,570708.1875
397.,100946.7734,326994.0938,572059.0000
398.,100365.3672,326227.9688,573406.8125
399.,99787.2969,325461.7188,574750.9375
400.,99212.5625,324695.1562,576092.3125
401.,98641.1484,323928.5312,577430.2500
402.,98073.0234,323161.7500,578765.4375
403.,97508.1484,322394.8750,580096.8750
404.,96946.5469,321627.9062,581425.3750
405.,96388.1797,320860.8750,582750.8750
406.,95833.0312,320093.7188,584073.4375
407.,95281.0547,319326.6562,585392.2500
408.,94732.2812,318559.5625,586708.3125
409.,94186.6719,317792.3438,588020.6875
410.,93644.2031,317025.2500,589330.5625
411.,93104.8281,316258.1875,590637.2500
412.,92568.6016,315491.1562,591940.4375
